Average ETH Price (USD),Stablecoin Fee Share (%),Stablecoin Sequencer Fees (ETH),Stablecoin Sequencer Fees (USD),Stablecoin Supply (USD),Stablecoin Transfer Volume (USD),Stablecoin Transfers,Stablecoin Velocity,Total Sequencer Fees (ETH),Total Sequencer Fees (USD),Total Transactions,Unique Senders,Week
2334.24438,0.492543384,17.9872497,41933.45426,4044240361,13346575805,7059225,3.30014406,36.4934239,85136.57,12999803,448924,13-04-2026 00:00
2193.737981,0.51022834,19.84918143,43442.61621,3869507061,15269536031,7983886,3.94611918,38.92168224,85143.47948,15790545,755219,06-04-2026 00:00
2065.75935,0.519573743,18.14146204,37518.82211,3813087048,14822685811,7713879,3.887319021,34.91804268,72210.77391,13210757,618259,30-03-2026 00:00
2076.655992,0.438195233,19.99932133,41642.30515,3802490999,12518218172,7850761,3.292109876,45.61886777,95031.397,16827183,453240,23-03-2026 00:00
2200.757262,0.474809736,20.062416,44427.08996,3816784625,14048613019,8465060,3.680745549,42.40932786,93568.19507,15798555,469363,16-03-2026 00:00
2064.419311,0.478874583,22.52514671,46404.35249,3749622408,12380938861,9406926,3.301916171,46.96285365,96902.93474,16339003,488120,09-03-2026 00:00
2014.84878,0.454685196,26.61600514,53761.32586,4043662160,15406198699,11127361,3.809961883,58.46476083,118238.5666,24083519,511372,02-03-2026 00:00
1945.047822,0.431322657,26.44744435,51448.45654,4052145644,15181681007,11308531,3.746578317,61.42353603,119280.6724,27818365,514728,23-02-2026 00:00
1970.058606,0.331660079,18.50748739,36457.22434,4009589574,13227065482,8226298,3.29885771,55.79821813,109923.4628,31149631,409109,16-02-2026 00:00
2017.6737,0.360525658,23.98842185,48316.38845,3994673722,17606687430,10290913,4.407540805,66.48029735,134016.5044,32420916,703257,09-02-2026 00:00
2136.049385,0.421390068,50.91193873,107341.892,3883981842,33000548195,15854523,8.496576333,121.1043909,254732.8479,41508030,1279966,02-02-2026 00:00
2777.730541,0.477900614,44.75104227,122416.0177,3803381687,26236273062,16706706,6.898143606,94.43228855,256153.715,25875672,1122923,26-01-2026 00:00
3008.535888,0.433816526,26.45802343,79815.84422,3862613283,22265028778,11367989,5.764239686,61.15110151,183985.255,16550600,561334,19-01-2026 00:00
3266.019554,0.532479125,24.33652426,79354.68546,3914018805,19524163065,10750964,4.988265013,45.71428271,149028.7257,15441878,512085,12-01-2026 00:00
3149.72503,0.518911622,20.17273842,63629.7818,3807069239,22271951021,10525520,5.850156543,38.9106819,122621.6163,17873721,518733,05-01-2026 00:00
3028.626969,0.502977474,13.10349308,39662.53221,3695181674,19540988674,9291560,5.288234896,26.05825893,78855.48405,17942387,545832,29-12-2025 00:00
2955.911066,0.700918862,99.57993206,293282.0521,3682122259,18896106225,16746906,5.131851931,142.008949,418425.1103,18000493,533335,22-12-2025 00:00
2953.013849,0.508992281,33.72379062,99413.83618,3744135595,19817288121,10062826,5.292887401,66.2510221,195315.0174,20701192,747743,15-12-2025 00:00
3179.774772,0.511017661,30.07835988,97352.13865,3837841413,18298465705,8433832,4.767905636,59.07886082,190506.4074,24942044,556010,08-12-2025 00:00
3022.542569,0.400071789,40.65205018,121539.8859,4012591457,18120243220,11101819,4.515845536,100.9266568,303795.1921,27631362,692747,01-12-2025 00:00
2975.858145,0.424942778,21.28926574,63213.83497,4053623131,18844457635,10231322,4.64879369,50.14426043,148758.464,20712869,727259,24-11-2025 00:00
2930.756047,0.482646815,82.25176349,238161.8254,3936425604,26122700565,10399664,6.636147406,170.2515857,493449.4913,19605998,650443,17-11-2025 00:00
3354.801984,0.469039747,42.59589801,141566.7102,3748435117,22104946060,9969170,5.89711316,90.73129797,301822.4172,20567793,701443,10-11-2025 00:00
3445.250412,0.442134292,75.17081606,262070.9583,3713882767,30025386766,9335560,8.084635043,170.1310127,592740.6284,22647450,663651,03-11-2025 00:00
3957.095501,0.415235272,28.99540957,115066.8218,3778312750,32558776606,8350219,8.617279394,69.83297596,277112.3493,26055295,650793,27-10-2025 00:00
3931.263328,0.414466687,22.20267128,87077.24834,4567253797,25160337691,7223730,5.508854732,53.56849337,210094.6855,21667847,556397,20-10-2025 00:00
3991.876161,0.452044005,47.82162689,192000.3882,4903064763,35083827657,9248821,7.155489343,105.8966198,424738.2693,23780885,580459,13-10-2025 00:00
4292.536106,0.467288912,263.0973572,1108123.697,4270082685,50672095678,11151759,11.86677154,562.8459063,2371388.808,27877200,592285,06-10-2025 00:00
4357.392237,0.432981617,20.703661,90239.3431,3917560374,32828145990,7562565,8.3797422,47.90204495,208413.7975,22572221,560898,29-09-2025 00:00
4083.576384,0.471322213,118.703065,494432.4207,3417786618,44159816517,8589718,12.9205891,252.6625874,1049032.715,29584912,650706,22-09-2025 00:00
4520.793085,0.412871289,17.50387095,79149.12524,3365132420,28021029123,6617528,8.326872654,42.39994382,191704.1156,15657251,531371,15-09-2025 00:00
4468.49938,0.429792199,15.46547376,68884.49088,3347767070,23973979230,6284559,7.161184971,36.00458987,160273.9441,16498009,497052,08-09-2025 00:00
4345.326567,0.416844677,17.41545528,75811.09965,3449816055,21280387781,6111290,6.168557234,41.79284748,181868.9401,19448634,437649,01-09-2025 00:00
4490.510491,0.429289432,27.95331052,126316.6163,3263054171,29172184665,7370244,8.940147217,65.20009112,294245.8089,22551271,590176,25-08-2025 00:00
4440.215174,0.476801212,51.35839717,229917.6468,3706891870,35073999957,8860212,9.461835194,107.8171712,482208.6041,22921277,477651,18-08-2025 00:00
4492.847287,0.457829755,48.28572384,220001.3339,3651317801,26463650129,8202219,7.247698385,105.5554104,480530.8774,22899558,512813,11-08-2025 00:00
3856.326875,0.427951417,21.9646177,85405.36003,3888445891,21939245437,7419397,5.642162975,51.27997553,199567.8871,20943780,537453,04-08-2025 00:00
3686.579554,0.438588519,26.99268627,99793.53699,3475396732,21936156036,7500793,6.311842281,61.54863649,227533.4002,21164172,521619,28-07-2025 00:00
3714.486677,0.41069482,27.60391641,101943.555,3096277564,23975464826,7358774,7.74331898,67.18162803,248222.1589,22256123,523846,21-07-2025 00:00
3359.205074,0.429394549,40.4077935,136451.3375,2934088301,31717284749,8115581,10.8099285,93.79205003,317776.1284,22871345,519954,14-07-2025 00:00
2782.524479,0.443538041,32.82154978,91439.62006,3159301466,21591855730,7091493,6.834376511,74.19496409,206159.5886,18765647,529509,07-07-2025 00:00
2513.898338,0.333838697,15.69539395,39422.54779,2915899727,11469685072,6686380,3.93349777,47.08538169,118088.6104,17258573,561341,30-06-2025 00:00
2413.617063,0.408406095,21.7654528,51372.05051,2112292348,12764749707,6327284,6.043079083,53.12535401,125786.689,17402124,457924,23-06-2025 00:00
2478.551726,0.412554767,45.55481665,109345.6377,2216720772,15089171213,6119598,6.806978759,110.4624275,265045.1444,17402067,368668,16-06-2025 00:00
2630.338919,0.431886043,31.82056286,83448.55917,2050330220,19027968851,6551326,9.280441105,73.66967106,193218.93,17479621,385517,09-06-2025 00:00
2549.087614,0.391610751,20.85184594,53429.50908,1943708775,13147456358,6104026,6.764108146,53.26109216,136435.2458,15653538,394184,02-06-2025 00:00
2596.662614,0.338781868,25.32577619,66073.91933,1687386532,16080522766,6401166,9.529839467,74.81602172,195033.8126,16927214,414372,26-05-2025 00:00
2545.861771,0.417444444,39.39269929,100783.521,1268249680,20526348518,7277607,16.18478509,94.42965678,241429.7816,18179125,389501,19-05-2025 00:00
2542.72935,0.44086526,40.30256385,102177.4346,1390104392,18720636360,7878314,13.46707231,91.32352051,231765.6751,18459366,396646,12-05-2025 00:00
2091.620025,0.463147322,52.71829184,115624.8803,1398621715,20594985704,7324603,14.72520088,113.6264382,249650.327,17880433,390948,05-05-2025 00:00
1819.57255,0.388177632,12.86518385,23328.85873,1347672320,10675653841,4951396,7.92155013,33.12010472,60098.4107,13795051,330880,28-04-2025 00:00
1744.540382,0.475791099,36.32639411,61763.18978,1443146217,14543332389,5958995,10.07751828,76.03437147,129811.5704,15273999,341989,21-04-2025 00:00
1603.954871,0.409299215,15.30259476,24577.55141,1505706373,10695913546,4725083,7.103585228,37.40746145,60047.88313,13314422,294892,14-04-2025 00:00
1563.656741,0.406715966,121.0797152,186424.0814,1479678379,15790549029,7063186,10.67160895,297.3996958,458364.3063,18621740,349462,07-04-2025 00:00
1817.560714,0.35919563,73.3625149,131191.4544,1393170207,12654793050,5367363,9.083450811,204.8690308,365236.7777,18303471,323655,31-03-2025 00:00
1971.449246,0.320544056,15.57110534,30548.76984,1555425343,15118659545,4844288,9.719951915,48.66442977,95302.87417,16833303,336240,24-03-2025 00:00
1967.696379,0.397851513,14.91709049,29426.42401,2024919445,12627745832,6294348,6.236171945,37.51913714,73963.3331,14025420,342460,17-03-2025 00:00
1919.573021,0.420072803,72.54774315,141969.6348,1858995817,14929234212,7018929,8.030805706,172.5288181,337964.3569,17177925,357830,10-03-2025 00:00
2194.91621,0.476280236,81.74685459,178642.8871,1736738015,17021009865,8254542,9.800562734,171.8677676,375079.3618,18634909,339756,03-03-2025 00:00
2372.405174,0.443721293,121.9831231,288667.4641,1869183071,21603944725,8455135,11.55796084,274.1668683,650560.3154,18602250,386505,24-02-2025 00:00
2729.701647,0.459852461,16.95433286,46256.26437,1934339575,14779433320,5697585,7.640557798,36.87847326,100589.3592,13911626,382064,17-02-2025 00:00
2678.558353,0.453445715,13.78694756,36683.9082,2481368704,11359295739,4822778,4.577834694,30.39511698,80900.33054,12436457,333084,10-02-2025 00:00
