Average ETH Price (USD),Stablecoin Fee Share (%),Stablecoin Sequencer Fees (ETH),Stablecoin Sequencer Fees (USD),Stablecoin Supply (USD),Stablecoin Transfer Volume (USD),Stablecoin Transfers,Stablecoin Velocity,Total Sequencer Fees (ETH),Total Sequencer Fees (USD),Total Transactions,Unique Senders,Week
2334.24438,0.111180708,4.057151721,9465.544126,4044240361,2781292389,1780040,0.687716886,36.4934239,85136.57,12999803,164007,13-04-2026 00:00
2193.737981,0.105078197,4.085911691,8946.723284,3869507061,3962228578,1855756,1.0239621,38.92168224,85143.47948,15790545,337641,06-04-2026 00:00
2065.75935,0.11393992,3.979645846,8227.689805,3813087048,3009312728,1690973,0.789206407,34.91804268,72210.77391,13210757,241245,30-03-2026 00:00
2076.655992,0.093009686,4.24693084,8838.840437,3802490999,3199118481,1505639,0.841321776,45.61886777,95031.397,16827183,162566,23-03-2026 00:00
2200.757262,0.096841832,4.098846835,9061.315383,3816784625,3397983237,1395272,0.89027377,42.40932786,93568.19507,15798555,158990,16-03-2026 00:00
2064.419311,0.094495421,4.443221346,9156.883621,3749622408,2768458138,1462400,0.738329847,46.96285365,96902.93474,16339003,164114,09-03-2026 00:00
2014.84878,0.094807193,5.54083746,11209.86665,4043662160,4054996686,1849079,1.002803035,58.46476083,118238.5666,24083519,177234,02-03-2026 00:00
1945.047822,0.099054464,6.074589652,11815.28301,4052145644,3768133256,1985590,0.929910617,61.42353603,119280.6724,27818365,182098,23-02-2026 00:00
1970.058606,0.078247882,4.366475911,8601.278167,4009589574,3917271991,1528710,0.976975802,55.79821813,109923.4628,31149631,147418,16-02-2026 00:00
2017.6737,0.090641912,6.029646197,12147.51221,3994673722,5305457643,2190184,1.328132912,66.48029735,134016.5044,32420916,339273,09-02-2026 00:00
2136.049385,0.117759867,14.25055196,29997.30617,3883981842,8117506694,3971437,2.089996047,121.1043909,254732.8479,41508030,673222,02-02-2026 00:00
2777.730541,0.13660795,12.8104482,34992.63378,3803381687,5265800688,4048469,1.384504928,94.43228855,256153.715,25875672,560352,26-01-2026 00:00
3008.535888,0.098280872,6.002537573,18082.23133,3862613283,5266032491,1892761,1.363334122,61.15110151,183985.255,16550600,208639,19-01-2026 00:00
