Average ETH Price (USD),Stablecoin Fee Share (%),Stablecoin Sequencer Fees (ETH),Stablecoin Sequencer Fees (USD),Stablecoin Supply (USD),Stablecoin Transfer Volume (USD),Stablecoin Transfers,Stablecoin Velocity,Total Sequencer Fees (ETH),Total Sequencer Fees (USD),Total Transactions,Unique Senders,Week
2334.24438,0.005710362,0.208736367,486.1606299,4044240361,330331549.5,73735,0.081679505,36.4934239,85136.57,12999803,5386,13-04-2026 00:00
2193.737981,0.004623563,0.179937283,393.6662203,3869507061,1308290677,47658,0.338102672,38.92168224,85143.47948,15790545,8329,06-04-2026 00:00
2065.75935,0.005082062,0.177598061,366.9796355,3813087048,205896180.8,45193,0.053997241,34.91804268,72210.77391,13210757,5954,30-03-2026 00:00
2076.655992,0.006318352,0.288364277,600.4418108,3802490999,251867512.9,56013,0.066237504,45.61886777,95031.397,16827183,4021,23-03-2026 00:00
2200.757262,0.00530624,0.224877812,496.4952545,3816784625,403217223.6,53554,0.105643169,42.40932786,93568.19507,15798555,4323,16-03-2026 00:00
2064.419311,0.004900689,0.230663296,474.8911665,3749622408,415365954.4,50454,0.110775409,46.96285365,96902.93474,16339003,4212,09-03-2026 00:00
2014.84878,0.006148492,0.35960019,726.9888499,4043662160,893714283,77357,0.221016061,58.46476083,118238.5666,24083519,5138,02-03-2026 00:00
1945.047822,0.004901585,0.300615655,584.6643844,4052145644,644495920.2,67716,0.159050532,61.42353603,119280.6724,27818365,4949,23-02-2026 00:00
1970.058606,0.004355433,0.243194823,478.7642937,4009589574,1157656926,58248,0.288722051,55.79821813,109923.4628,31149631,4846,16-02-2026 00:00
2017.6737,0.00642662,0.42695573,861.2731246,3994673722,1308430778,99890,0.327543842,66.48029735,134016.5044,32420916,7182,09-02-2026 00:00
2136.049385,0.010306087,1.250537041,2625.298859,3883981842,891605799,143001,0.229559724,121.1043909,254732.8479,41508030,16711,02-02-2026 00:00
2777.730541,0.007943094,0.760551276,2034.652998,3803381687,319841478.4,94357,0.084093973,94.43228855,256153.715,25875672,11586,26-01-2026 00:00
3008.535888,0.004460873,0.271785921,820.7347675,3862613283,272524438.4,60937,0.07055442,61.15110151,183985.255,16550600,5411,19-01-2026 00:00
3266.019554,0.005113011,0.233669364,761.9855586,3914018805,168378807.3,59947,0.043019417,45.71428271,149028.7257,15441878,4945,12-01-2026 00:00
3149.72503,0.005563079,0.216257247,682.153745,3807069239,169561220.8,68025,0.044538518,38.9106819,122621.6163,17873721,5471,05-01-2026 00:00
3028.626969,0.005069974,0.132142507,399.795283,3695181674,218635984,52639,0.059167858,26.05825893,78855.48405,17942387,4903,29-12-2025 00:00
2955.911066,0.002535349,0.359122547,1060.853519,3682122259,139659628.2,44515,0.037929112,142.008949,418425.1103,18000493,4416,22-12-2025 00:00
2953.013849,0.007389972,0.490053397,1443.372577,3744135595,214669183.4,68959,0.057334778,66.2510221,195315.0174,20701192,4616,15-12-2025 00:00
3179.774772,0.005318563,0.315872678,1013.220315,3837841413,348366717.5,65788,0.090771525,59.07886082,190506.4074,24942044,4761,08-12-2025 00:00
3022.542569,0.006341162,0.644807053,1926.414434,4012591457,321073538.8,71818,0.080016504,100.9266568,303795.1921,27631362,5558,01-12-2025 00:00
2975.858145,0.005359849,0.26963346,797.3229744,4053623131,414180151.1,77482,0.102175298,50.14426043,148758.464,20712869,7345,24-11-2025 00:00
2930.756047,0.008658835,1.486218548,4272.6979,3936425604,1696030220,111053,0.430855398,170.2515857,493449.4913,19605998,6789,17-11-2025 00:00
3354.801984,0.00663612,0.604649283,2002.929773,3748435117,178292079.3,88890,0.047564403,90.73129797,301822.4172,20567793,4941,10-11-2025 00:00
3445.250412,0.00905132,1.535666768,5365.085149,3713882767,398304124.1,96760,0.107247361,170.1310127,592740.6284,22647450,5481,03-11-2025 00:00
3957.095501,0.006335477,0.442078418,1755.638789,3778312750,196890132.9,79260,0.052110597,69.83297596,277112.3493,26055295,5508,27-10-2025 00:00
