Average ETH Price (USD),Stablecoin Fee Share (%),Stablecoin Sequencer Fees (ETH),Stablecoin Sequencer Fees (USD),Stablecoin Supply (USD),Stablecoin Transfer Volume (USD),Stablecoin Transfers,Stablecoin Velocity,Total Sequencer Fees (ETH),Total Sequencer Fees (USD),Total Transactions,Unique Senders,Week
2334.24438,0.492402363,17.98207826,41921.44823,4044240361,13335510912,7052767,3.297408097,36.4934239,85136.57,12999803,448763,13-04-2026 00:00
2193.737981,0.510130396,19.84537403,43434.27689,3869507061,15249854375,7976103,3.941032833,38.92168224,85143.47948,15790545,754831,06-04-2026 00:00
2065.75935,0.519485991,18.13838961,37512.48545,3813087048,14815487799,7708240,3.885431308,34.91804268,72210.77391,13210757,618104,30-03-2026 00:00
2076.655992,0.4381178,19.99576971,41634.94661,3802490999,12505539795,7842890,3.288775647,45.61886777,95031.397,16827183,453050,23-03-2026 00:00
2200.757262,0.474670315,20.05652787,44414.04467,3816784625,14033289192,8457471,3.676730697,42.40932786,93568.19507,15798555,469131,16-03-2026 00:00
2064.419311,0.478760502,22.51977416,46393.29766,3749622408,12372350099,9400867,3.299625603,46.96285365,96902.93474,16339003,487918,09-03-2026 00:00
2014.84878,0.454562642,26.60883486,53746.83529,4043662160,15396329161,11117944,3.807521141,58.46476083,118238.5666,24083519,511120,02-03-2026 00:00
1945.047822,0.431168657,26.437993,51430.08729,4052145644,15164024571,11298159,3.742221012,61.42353603,119280.6724,27818365,514443,23-02-2026 00:00
1970.058606,0.331552281,18.50147639,36445.37478,4009589574,13214929320,8217021,3.295830926,55.79821813,109923.4628,31149631,408742,16-02-2026 00:00
2017.6737,0.360374922,23.97839673,48296.18738,3994673722,17586502109,10276886,4.402487746,66.48029735,134016.5044,32420916,702758,09-02-2026 00:00
2136.049385,0.421237049,50.8935321,107302.913,3883981842,32955438404,15831489,8.484962017,121.1043909,254732.8479,41508030,1279201,02-02-2026 00:00
2777.730541,0.477678676,44.72991657,122359.1674,3803381687,26193090251,16688088,6.886789812,94.43228855,256153.715,25875672,1122173,26-01-2026 00:00
3008.535888,0.433568654,26.44291247,79770.23931,3862613283,22230936801,11351942,5.755413543,61.15110151,183985.255,16550600,560760,19-01-2026 00:00
3266.019554,0.532199104,24.32377369,79312.95427,3914018805,19485444571,10731376,4.978372752,45.71428271,149028.7257,15441878,511565,12-01-2026 00:00
3149.72503,0.518632099,20.1618517,63595.50621,3807069239,22239068332,10504900,5.841519272,38.9106819,122621.6163,17873721,518016,05-01-2026 00:00
3028.626969,0.502740426,13.09734147,39643.83962,3695181674,19513367372,9277958,5.280759945,26.05825893,78855.48405,17942387,545159,29-12-2025 00:00
2955.911066,0.700750752,99.55604514,293211.7109,3682122259,18873391039,16738788,5.125682884,142.008949,418425.1103,18000493,532523,22-12-2025 00:00
2953.013849,0.508831899,33.71316679,99382.51123,3744135595,19789194498,10052035,5.285384034,66.2510221,195315.0174,20701192,747381,15-12-2025 00:00
3179.774772,0.510844097,30.06807065,97319.07363,3837841413,18266826532,8422580,4.759661634,59.07886082,190506.4074,24942044,555644,08-12-2025 00:00
