Average ETH Price (USD),Stablecoin Fee Share (%),Stablecoin Sequencer Fees (ETH),Stablecoin Sequencer Fees (USD),Stablecoin Supply (USD),Stablecoin Transfer Volume (USD),Stablecoin Transfers,Stablecoin Velocity,Total Sequencer Fees (ETH),Total Sequencer Fees (USD),Total Transactions,Unique Senders,Week
2334.24438,0.417412555,15.24564554,35537.07317,4044240361,10895614966,5352920,2.694106679,36.4934239,85136.57,12999803,304833,13-04-2026 00:00
2193.737981,0.439117498,17.08423355,37387.9917,3869507061,12615598130,6175788,3.260259752,38.92168224,85143.47948,15790545,447688,06-04-2026 00:00
2065.75935,0.444995269,15.53664113,32133.45279,3813087048,12019269264,6068099,3.152109855,34.91804268,72210.77391,13210757,400607,30-03-2026 00:00
2076.655992,0.380730317,17.37728521,36181.33389,3802490999,9570967203,6401135,2.517025604,45.61886777,95031.397,16827183,308442,23-03-2026 00:00
2200.757262,0.417465117,17.63088783,39061.45755,3816784625,11053847005,7123342,2.896114948,42.40932786,93568.19507,15798555,329127,16-03-2026 00:00
2064.419311,0.424868165,19.98391639,41170.97203,3749622408,10027846678,7994980,2.674361732,46.96285365,96902.93474,16339003,342112,09-03-2026 00:00
2014.84878,0.40173665,23.51833952,47500.7657,4043662160,12244916296,9355639,3.028174909,58.46476083,118238.5666,24083519,354653,02-03-2026 00:00
1945.047822,0.374255777,22.9544964,44641.48072,4052145644,12058043672,9390657,2.975718232,61.42353603,119280.6724,27818365,353100,23-02-2026 00:00
1970.058606,0.295590204,16.49453677,32492.29884,4009589574,10467450417,6755836,2.610603959,55.79821813,109923.4628,31149631,279295,16-02-2026 00:00
2017.6737,0.315846203,21.01635845,42328.60406,3994673722,13609660566,8200619,3.406951735,66.48029735,134016.5044,32420916,397042,09-02-2026 00:00
2136.049385,0.359049412,43.37624605,91461.67927,3883981842,25774647300,12026087,6.63614001,121.1043909,254732.8479,41508030,666073,02-02-2026 00:00
2777.730541,0.420702677,39.3374953,107764.5535,3803381687,21290313853,12752594,5.597732651,94.43228855,256153.715,25875672,613260,26-01-2026 00:00
3008.535888,0.387002935,23.60166336,71202.83362,3862613283,17271520726,9536165,4.471459983,61.15110151,183985.255,16550600,382543,19-01-2026 00:00
3266.019554,0.476204602,21.75941963,70968.16507,3914018805,14778690881,9032775,3.775835431,45.71428271,149028.7257,15441878,343803,12-01-2026 00:00
3149.72503,0.459506087,17.86350964,56345.37915,3807069239,16872160166,8686431,4.43179756,38.9106819,122621.6163,17873721,349802,05-01-2026 00:00
3028.626969,0.441109859,11.48830884,34783.93142,3695181674,14296427146,7427424,3.868937554,26.05825893,78855.48405,17942387,368053,29-12-2025 00:00
2955.911066,0.552363281,78.47083078,231122.6668,3682122259,13104218584,10825902,3.558876556,142.008949,418425.1103,18000493,333889,22-12-2025 00:00
2953.013849,0.428262966,28.37071491,83646.18854,3744135595,15788669317,7233274,4.21690639,66.2510221,195315.0174,20701192,313340,15-12-2025 00:00
3179.774772,0.373930937,22.12108909,71236.23944,3837841413,14302976671,6474068,3.726828477,59.07886082,190506.4074,24942044,385346,08-12-2025 00:00
3022.542569,0.348902584,35.45322868,105994.9275,4012591457,14399495928,8991053,3.588577626,100.9266568,303795.1921,27631362,501894,01-12-2025 00:00
2975.858145,0.370379673,18.55032882,55097.11124,4053623131,14584830834,8143930,3.59797405,50.14426043,148758.464,20712869,508071,24-11-2025 00:00
2930.756047,0.426760152,72.76082269,210584.5801,3936425604,21752667492,8336906,5.525994818,170.2515857,493449.4913,19605998,444209,17-11-2025 00:00
3354.801984,0.406654381,36.94184543,122737.4081,3748435117,18113693517,7760817,4.832334814,90.73129797,301822.4172,20567793,465257,10-11-2025 00:00
3445.250412,0.384662315,65.36243757,228004.9825,3713882767,25164808043,7035897,6.775875713,170.1310127,592740.6284,22647450,436297,03-11-2025 00:00
3957.095501,0.362362921,25.29887076,100415.2405,3778312750,28250018186,6243857,7.476887186,69.83297596,277112.3493,26055295,408989,27-10-2025 00:00
3931.263328,0.358960618,19.22775981,75415.7181,4567253797,21032042908,5414442,4.604964787,53.56849337,210094.6855,21667847,364009,20-10-2025 00:00
