avg_global_supply_usd,avg_supply_on_chain_usd,blockchain,chain_supply_share_pct,currency,fee_per_supply_dollar,gas_fees_native,gas_fees_usd,token_symbol,transfer_count,transfer_volume_usd,unique_receivers,unique_senders,velocity,week
15178863.142857144,2884728.714285714,base,19.00490627747182,AUD,2.0558118287166807e-05,0.025407261919827315,59.30459413467233,AUDD,12129,1133204.8865528493,214,194,0.3928289273584055,2026-04-13
15178863.142857144,4101383.714285714,ethereum,27.020361641614375,AUD,2.8297286622992115e-05,0.04973097009832138,116.05803051401486,AUDD,236,1529375.5093796994,50,47,0.3728925689280578,2026-04-13
78585641.71428572,1940255.4285714286,gnosis,2.468969376906823,BRL,3.997612694965174e-08,0.07756806838484327,0.07756389732732237,BRLA,643,475278.6228985067,99,92,0.24495672884082323,2026-04-13
78585641.71428572,15000202.714285715,polygon,19.087714227520138,BRL,4.633566318174815e-06,785.3271705006898,69.50443406270873,BRLA,19114,23654668.97801868,3962,3916,1.5769566204255845,2026-04-13
1499144569.142857,10029727,bnb,0.6690300059409576,BRL,1.3719503782034669e-05,0.21617152161544287,137.60287750927523,BRZ,184,753.4921089203615,70,47,7.512588417614572e-05,2026-04-13
1499144569.142857,14002142.857142856,ethereum,0.9340088438000778,BRL,2.1796673843746301e-07,0.001283449250156048,3.052001409706848,BRZ,9,1871.5026197564957,7,7,0.00013365830065087457,2026-04-13
1499144569.142857,50367934.71428572,polygon,3.3597783530032608,BRL,1.0654592424139147e-06,606.4236331992386,53.66498156263637,BRZ,16092,4306080.762380449,1625,1560,0.08549250206121967,2026-04-13
2251032,1313500,base,58.35101411263811,CAD,4.6096719220556436e-05,0.02595174200020947,60.54804069620088,CADC,10376,8694705.33096649,343,295,6.6194939710441485,2026-04-13
2251032,853852,ethereum,37.931579826497355,CAD,8.132196782460465e-06,0.0029487591602875536,6.943692487097433,CADC,43,911.0445873555751,13,10,0.0010669818509010639,2026-04-13
2251032,68580,polygon,3.046602624929366,CAD,4.848504533182731e-06,3.71903571690862,0.33251044088567167,CADC,58,2656.3051049200812,15,14,0.038732941162439215,2026-04-13
1056202.857142857,310213.85714285716,base,29.370670136418603,EUR,4.925451867259781e-06,0.000657785914223443,1.5279434219141448,EURAU,281,181864.3459435308,37,28,0.5862547457374868,2026-04-13
1056202.857142857,745989,ethereum,70.6293298635814,EUR,2.514520821597911e-05,0.008037778479726709,18.75804873183004,EURAU,49,38976.96375433388,6,6,0.05224871111280982,2026-04-13
356969876.14285713,5719058.714285715,avalanche_c,1.6021124180229096,EUR,4.832529869333748e-06,2.9333445575384247,27.637522061259173,EURC,33099,85101842.39218238,506,367,14.880393198203286,2026-04-13
356969876.14285713,50925392.71428572,base,14.26601966097153,EUR,0.0002939531002353597,6.446774753461371,14969.677069067486,EURC,880775,30213539316.18164,7627,4289,593.2902567034316,2026-04-13
356969876.14285713,244943512.2857143,ethereum,68.61741806686496,EUR,2.7232189855573204e-05,2.8496089096060806,6670.348230455499,EURC,12956,481711583.319238,2524,2094,1.966623156596798,2026-04-13
78472697.57142857,68516889,ethereum,87.31302876090574,EUR,8.082845692136604e-05,2.366143757346573,5538.114410922519,EURCV,19646,118094090.91977365,1267,1254,1.7235763713640537,2026-04-13
50968876.14285714,2965762,bnb,5.818770638943403,EUR,1.2325596903756208e-05,0.05836734419318643,36.55478692447782,EURI,562,143805.46136961647,131,131,0.048488537303268596,2026-04-13
50968876.14285714,48003114.14285714,ethereum,94.1812293610566,EUR,1.605210319665044e-06,0.03317395010817836,77.05509419817331,EURI,285,1389727.0263187853,105,78,0.028950768114396938,2026-04-13
29119026.714285713,1346180.5714285714,arbitrum,4.623027358150466,EUR,5.544263839666163e-05,0.031932356811237995,74.6358026383256,EURe,9499,4497592.635480587,1041,1210,3.3410024858015346,2026-04-13
29119026.714285713,7099380,ethereum,24.38055388890132,EUR,4.4275541143231115e-05,0.13381891065860985,314.3288912814321,EURe,1215,31013696.717313066,241,221,4.368507773539811,2026-04-13
29119026.714285713,19144317.57142857,gnosis,65.74504621762108,EUR,8.99594424743929e-06,172.22128167418907,172.22121352784376,EURe,191273,82948293.358552,5553,6672,4.3327892492937945,2026-04-13
29119026.714285713,933915.8571428572,polygon,3.20723582661738,EUR,1.0026628990379497e-05,106.12026277287563,9.364027807803689,EURe,4482,3257086.4833093514,384,398,3.4875588184933544,2026-04-13
1055237839,1838008,arbitrum,0.17417950077887606,JPY,2.97504917138426e-08,2.3336093952e-05,0.054681641773976414,GYEN,5,25.57083763024776,5,3,1.3912255893471497e-05,2026-04-13
1055237839,952522396,ethereum,90.26613345316173,JPY,6.37217355842003e-08,0.025814382626738252,60.69638025594093,GYEN,99,3380145.630162314,53,41,0.003548625884658269,2026-04-13
3275482437,351748090,avalanche_c,10.738817770067621,JPY,1.6794877321767488e-08,0.6263837174436505,5.907566019716029,JPYC,2387,257835.8968503985,325,154,0.0007330129265247709,2026-04-13
3275482437,653038691,ethereum,19.937175776711396,JPY,6.208583327528686e-07,0.1736776142235696,405.44451291737573,JPYC,1417,898933.0349375122,343,328,0.00137653870639881,2026-04-13
3275482437,2270695655,polygon,69.32400642269113,JPY,1.1892077231528444e-08,304.56380878744363,27.003288098556066,JPYC,18692,4866150.951127721,11561,1883,0.0021430220912312093,2026-04-13
271064749.5714286,21270745.57142857,avalanche_c,7.847108709287738,TRY,4.68130450973824e-09,0.010572322268328167,0.09957483716902328,TRYB,358,261899.20445765607,8,8,0.012312648072357464,2026-04-13
271064749.5714286,8128868,base,2.9988657738980375,TRY,6.648960522567008e-08,0.00023017843817311895,0.5404852242515823,TRYB,174,13259.073606545116,16,15,0.0016311094738584902,2026-04-13
271064749.5714286,43996179.28571428,ethereum,16.230874488577054,TRY,1.070995750105641e-08,0.000206839609334371,0.4711972103588583,TRYB,27,2146422.169124818,7,6,0.04878655837784916,2026-04-13
2675868.5714285714,547006,avalanche_c,20.442184860670075,CHF,1.1992644791708736e-08,0.000693541295280435,0.006560048656933429,VCHF,44,3.1005841293297483,2,2,5.668281754367865e-06,2026-04-13
2675868.5714285714,290158.4285714286,base,10.843523171114533,CHF,1.7519358768800722e-05,0.002182684129313328,5.0833896099342954,VCHF,1129,151576.1508489061,65,54,0.5223909972051439,2026-04-13
2675868.5714285714,437721.5714285714,ethereum,16.358111758638582,CHF,1.2065481110047156e-06,0.000223966433059693,0.5281321351531585,VCHF,6,51083.19001868031,4,5,0.11670247333701762,2026-04-13
1442352,39,arbitrum,0.002703916935671736,EUR,0.000483004706076247,8.491219408e-06,0.018837183536973633,VEUR,1,0.2432571595016018,1,1,0.006237363064143636,2026-04-13
1442352,517348,avalanche_c,35.868359457330804,EUR,1.3736441324875103e-08,0.0007535709060352929,0.007106520446541484,VEUR,46,3.155884019244028,2,2,6.1001183328127834e-06,2026-04-13
1442352,95429,base,6.616207416774824,EUR,4.160702872437829e-05,0.0017134751065278487,3.9705171441386957,VEUR,345,82201.51038563579,34,28,0.861389204388978,2026-04-13
20994595,50069,arbitrum,0.2384851910694157,SGD,3.8248155159519344e-06,8.1473293448e-05,0.1915046880681974,XSGD,35,52042.60600910482,20,19,1.0394177237233582,2026-04-13
20994595,2109397,avalanche_c,10.047333611341395,SGD,1.2480317558839882e-06,0.2794016404151161,2.632594441766417,XSGD,6933,1136606.4390193082,114,110,0.5388300253671112,2026-04-13
20994595,14930106.142857144,ethereum,71.11404693854368,SGD,5.353530319205035e-06,0.034261242620585636,79.92877590473506,XSGD,239,3337352.179443051,96,90,0.2235317115303769,2026-04-13
20994595,2592266.8571428573,polygon,12.347305852496119,SGD,4.859671501499134e-06,142.20908847022886,12.59756536993787,XSGD,2997,6136974.285030021,392,376,2.3674160968882916,2026-04-13
30612789.285714287,26944,arbitrum,0.08801550145766573,CHF,8.22498483645172e-07,9.38411394e-06,0.022161399143335515,ZCHF,3,6.219781987231557,2,2,0.0002308410773170857,2026-04-13
30612789.285714287,1052026.5714285714,base,3.4365590198587634,CHF,4.549503661485078e-06,0.002061276740268302,4.786198738693878,ZCHF,952,21053392.522724353,100,93,20.012225065889222,2026-04-13
30612789.285714287,28014352,ethereum,91.51192247964524,CHF,5.299225836075406e-05,0.6343018401810626,1484.5437789931073,ZCHF,1657,30165669.71965847,280,265,1.0767934135923785,2026-04-13
30612789.285714287,1407434.2857142857,gnosis,4.597536907135334,CHF,1.4453014351875405e-07,0.2034351373610347,0.20341667930750082,ZCHF,2256,714575.5062825467,90,82,0.5077150056209503,2026-04-13
15380216.57142857,2864381,base,18.623801470527315,AUD,1.612551530287243e-05,0.021201768582868492,46.18961964875704,AUDD,10326,926835.9353186503,191,159,0.32357285407166514,2026-04-06
15380216.57142857,4458523,ethereum,28.988688028505933,AUD,2.1972822833470443e-05,0.044667421707943626,97.96633597795314,AUDD,245,282755.0126355911,65,50,0.06341898710303638,2026-04-06
79272275.85714285,2112840.714285714,gnosis,2.6652958949901726,BRL,2.724877777042715e-08,0.05757225866327648,0.05757232708788199,BRLA,714,339903.1443114248,86,82,0.16087495002023167,2026-04-06
79272275.85714285,14922735.857142856,polygon,18.824659309687576,BRL,5.873503167108961e-06,973.8151516607926,87.64873631885902,BRLA,21142,25749895.463051762,4203,4140,1.7255478961471011,2026-04-06
1475404054,10031915.857142856,bnb,0.6799436283196533,BRL,3.971356828203939e-07,0.006608491287980604,3.984031753923165,BRZ,324,1937.6474891036564,40,153,0.00019314829955676172,2026-04-06
1475404054,14000000,ethereum,0.9488926075568449,BRL,1.3650561786584624e-07,0.0008937353330287379,1.9110786501218475,BRZ,19,4672.896736559488,12,10,0.0003337783383256777,2026-04-06
1475404054,50092435.571428575,polygon,3.39516727201758,BRL,1.6388629998112395e-06,911.1964668385522,82.09463922844267,BRZ,22470,9893201.468301708,1857,1846,0.19749891087237398,2026-04-06
2265317.714285714,15100,arbitrum,0.6665731656436209,CAD,1.1062081815378954e-07,7.4864e-07,0.001670374354122222,CADC,1,0.7219747453234087,1,1,4.7812897041285344e-05,2026-04-06
2265317.714285714,1327785.7142857143,base,58.61366403098046,CAD,6.597489656105809e-05,0.040279323742743296,87.60052515525064,CADC,14374,8574967.647470279,346,299,6.4580960280049435,2026-04-06
2265317.714285714,853852,ethereum,37.69237288947927,CAD,1.2746114466493568e-05,0.005118853919547401,10.883295329444467,CADC,71,1465.9353764157752,16,12,0.0017168494966525523,2026-04-06
2265317.714285714,68580,polygon,3.027389913896657,CAD,3.589795967433742e-06,2.8133163437001985,0.24618820744660602,CADC,37,1326.3248268604862,9,7,0.019339819580934472,2026-04-06
1023131.8571428572,307142.85714285716,base,30.019870361633323,EUR,6.781957260703822e-06,0.000954934513782987,2.0830297300733167,EURAU,402,351371.2545405246,33,27,1.1439994333877546,2026-04-06
1023131.8571428572,715989,ethereum,69.98012963836668,EUR,1.18227160581727e-05,0.003828634307709703,8.464934647775014,EURAU,26,321175.3065855063,4,5,0.44857575547320744,2026-04-06
355738284.28571427,6148588.857142857,avalanche_c,1.7284023476665122,EUR,7.676393015973968e-06,5.185274618271142,47.198984561066794,EURC,37477,89739061.35490973,447,365,14.595066191596022,2026-04-06
355738284.28571427,50120932,base,14.089271302535696,EUR,0.000265683658171805,6.049739856836206,13316.312564740283,EURC,862050,31157537898.455795,7373,8461,621.6472171438431,2026-04-06
355738284.28571427,243505134,ethereum,68.45064047265342,EUR,1.6102586846755506e-05,1.7928110772071548,3921.0625678658366,EURC,13971,383606090.2467282,2457,2253,1.575351139194988,2026-04-06
75947941.42857143,66000804.28571428,ethereum,86.9026902431419,EUR,4.7689628889801465e-05,1.4373043481364955,3147.553862814132,EURCV,24081,90413311.75582601,1389,1370,1.3698819693837543,2026-04-06
50968933,2965762,bnb,5.81876414795656,EUR,7.58401413535332e-07,0.0037230656872968837,2.249238093009373,EURI,276,343932.8007320373,82,74,0.11596776839545361,2026-04-06
50968933,48003171,ethereum,94.18123585204344,EUR,1.5735541874496684e-06,0.034405430233922694,75.53559073791249,EURI,274,2195949.7512049796,104,81,0.04574593105953312,2026-04-06
27746561.42857143,1354457.857142857,arbitrum,4.881534097944594,EUR,5.01451623195104e-05,0.030951511586871993,67.9195091013648,EURe,9214,2453172.114471699,945,1118,1.8111837895396097,2026-04-06
27746561.42857143,5581358.285714285,ethereum,20.115495392402032,EUR,3.5646285596171004e-05,0.09096316634179272,198.95469146712682,EURe,1348,35455195.1711565,235,224,6.352431318001126,2026-04-06
27746561.42857143,19229761,gnosis,69.30502379368193,EUR,2.3755734148554974e-06,45.68054127730644,45.681709005625066,EURe,169584,60580262.91040159,5428,6320,3.150338837305445,2026-04-06
27746561.42857143,995992.8571428572,polygon,3.589608246437538,EUR,1.4076523617538445e-05,155.121879232193,14.020116976471023,EURe,5636,3346472.1233647154,393,383,3.3599358663721066,2026-04-06
1055237839,952522396,ethereum,90.26613345316173,JPY,2.9323755628935158e-08,0.012670976965107106,27.931533971391804,GYEN,80,16590.490112123305,48,42,1.7417427854497717e-05,2026-04-06
2675482437,351748090,avalanche_c,13.147090227002675,JPY,4.469510905374165e-08,1.7236599404038986,15.721419241995333,JPYC,2565,556969.392803866,214,152,0.001583432600313099,2026-04-06
2675482437,610181548.1428572,ethereum,22.806412021416577,JPY,6.336965442094572e-07,0.17638518923590252,386.6699383985051,JPYC,1607,1916547.5618430467,368,273,0.0031409464407375688,2026-04-06
2675482437,1713552797.857143,polygon,64.04649771420432,JPY,1.6278522249507712e-08,309.85751414577305,27.894107345623695,JPYC,17875,13205925.678630738,11196,1634,0.007706751548680149,2026-04-06
407200903.14285713,17520259,avalanche_c,4.302608089710797,TRY,3.047655130161086e-09,0.005860469894352052,0.05339570722310094,TRYB,77,670874.6110071585,8,8,0.03829136378675444,2026-04-06
407200903.14285713,8128868,base,1.9962794623636118,TRY,2.2079471444330618e-08,8.2023020424806e-05,0.17948110888073293,TRYB,37,16175.266623341122,21,18,0.001989854752634822,2026-04-06
407200903.14285713,42101036.28571428,ethereum,10.339131362619817,TRY,2.4103501695502206e-08,0.0004589376885629109,1.0147823994951142,TRYB,38,16102321.3768535,11,11,0.38246852803282033,2026-04-06
407200903.14285713,16903251,polygon,4.151083867824792,TRY,1.2717800306672285e-09,0.23460684205036492,0.021497217075155863,TRYB,12,29.780975878201804,4,3,1.7618490004202034e-06,2026-04-06
2703738,547006,avalanche_c,20.23147213228501,CHF,2.6532771918226665e-08,0.0016010824756493081,0.014513585435901494,VCHF,32,3.475720570979391,2,2,6.354081255012542e-06,2026-04-06
2703738,303776.28571428574,base,11.23541873192912,CHF,1.4275140987875039e-05,0.001988579799997956,4.336449307344439,VCHF,1288,177591.47259286384,65,56,0.584612693434194,2026-04-06
2703738,425527.28571428574,ethereum,15.738480788977546,CHF,2.2141620358128776e-06,0.00042234130615545197,0.9421863612310709,VCHF,6,36494.786825966265,4,4,0.08576368202736163,2026-04-06
1442352,517349.14285714284,avalanche_c,35.86843869299192,EUR,4.0359398689540074e-08,0.0022849835172698923,0.020879900318263252,VEUR,49,53.07158412362615,6,5,0.00010258369005992723,2026-04-06
1442352,99083.85714285714,base,6.869603061032061,EUR,3.379256780195283e-05,0.001539177726677951,3.3482979605790084,VEUR,301,97834.22042913742,38,34,0.9873880897478787,2026-04-06
